Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP,GHG Total
Australia,1971,152.1925554,6389.95525,145.8026002,75.65644928,65.2865156,4.005109765,5.152768116,1.59087494,66.342,0.451,0.499,10.863,6917.797123
Australia,1972,158.6529998,7690.095857,150.9629039,79.74226855,64.51109881,5.821039335,4.493320129,1.654509986,66.669,0.449,0.497,11.069,8234.617998
Australia,1973,168.682822,8316.72313,160.3660989,81.97887498,70.41541079,7.119742313,5.967186247,1.670418672,66.029,0.465,0.515,11.586,8891.518684
Australia,1974,183.3441405,8120.563225,175.2235772,87.37238713,79.22053608,7.819600906,5.712941131,1.909049868,69.935,0.489,0.541,12.475,8744.605458
Australia,1975,191.4088911,9213.650215,182.1952409,93.31695857,79.43497115,8.652729521,5.080228957,1.909049868,70.993,0.501,0.555,12.848,9860.545285
Australia,1976,193.7738374,9132.18665,184.6416507,93.39497281,80.72712973,9.747363904,4.601848026,1.909049868,70.265,0.495,0.549,12.891,9785.182502
Australia,1977,208.8853449,10120.88593,198.7644589,101.2515977,85.2936385,11.46581066,4.943904558,2.004502586,70.585,0.515,0.571,13.718,10818.88419
Australia,1978,203.9343422,10013.79048,193.9205518,93.30433291,87.27613349,12.60838385,4.718644477,2.227225096,68.66,0.498,0.552,13.242,10694.73209
Australia,1979,211.0332568,10766.73093,200.2665259,97.6104392,87.85688731,14.06807758,4.498930653,2.227225096,69.345,0.494,0.548,13.517,11468.19627
Australia,1980,220.2389658,10544.06507,209.6949007,107.146948,85.48969202,16.31051036,3.715797795,2.427675205,70.937,0.503,0.557,13.962,11275.04856
Australia,1981,222.7512998,12385.90635,210.3653935,108.2550726,82.47863904,18.85261219,3.685777371,2.274951155,70.672,0.484,0.536,13.895,13120.1571
Australia,1982,228.912393,12171.13243,216.7412606,113.1444712,81.95931059,20.84870644,2.616423788,2.551763439,69.791,0.498,0.552,14.072,12922.81976
Australia,1983,219.0963281,14343.15495,204.7531731,106.1063332,77.07902224,20.78408361,2.738638908,2.484946836,68.831,0.473,0.524,13.106,15059.13148
Australia,1984,226.7702318,15659.52074,211.110711,108.8258255,79.23453507,22.27560556,2.311058583,2.478583121,68.719,0.459,0.508,13.354,16395.56729
Australia,1985,240.0965178,16791.92078,223.3045971,119.9407283,78.77249511,23.80766816,2.307620707,2.790394635,72.137,0.46,0.51,13.943,17569.9908
Australia,1986,242.519655,17856.73854,224.6629165,118.2928416,78.61617852,26.1421266,1.55725592,2.847666266,71.49,0.452,0.501,13.829,18637.64918
Australia,1987,254.7186959,19681.71016,235.0369857,126.3810928,80.07134544,26.86961076,1.650767116,3.048116375,71.467,0.451,0.499,14.253,20496.15677
Australia,1988,262.0363024,17914.31997,244.1219825,131.6913296,82.39044896,28.16508311,1.860870223,3.449016892,72.779,0.449,0.498,14.566,18756.327
Australia,1989,276.8706127,19179.02733,257.6915854,141.0265777,85.65371286,29.09184063,2.115039078,3.970824085,72.273,0.453,0.502,15.123,20063.79852
Australia,1990,283.8408595,20810.10385,263.0307557,141.3309994,87.44955462,32.31721645,2.158887306,4.336725372,71.961,0.456,0.505,15.208,21712.69885
Australia,1991,286.6931543,22197.70045,264.4954538,146.3005319,85.63277392,30.63119637,1.951518852,4.518084938,73.237,0.463,0.513,15.102,23107.23816
Australia,1992,291.3154485,22775.8807,268.5395678,149.4126909,85.30144641,31.92842482,2.076673475,4.766261406,73.012,0.458,0.508,15.164,23698.36321
Australia,1993,296.8369693,24196.91293,272.6400564,150.3551409,86.83689701,33.31828256,2.26580456,5.151253236,70.443,0.448,0.496,15.251,25130.95533
