Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP
Canada,1971,366.6118133,20994.32288,345.6174905,64.35598819,211.748862,68.3526568,3.099452497,1.265993236,57.486,0.719,0.702,15.492
Chile,1971,22.06574132,355.343975,21.71039734,5.167808865,14.78051651,1.324191205,0.606738605,0.438639753,57.724,0.466,0.278,2.161
Colombia,1971,33.05402375,4612.654275,28.44136947,6.174544004,18.22757603,2.628954286,0.958218915,0.599886475,45.999,,,1.213
Costa Rica,1971,,,1.343074986,0.002506452,1.291324321,0.0,0.099567243,0.0,37.704,0.139,0.095,0.692
Mexico,1971,118.9967321,22305.29285,96.69143921,5.206264152,70.06945173,19.58605364,0.258252769,1.403116037,52.102,0.335,0.176,1.754
United States,1971,4599.842353,260963.831,4338.878522,1112.829169,2024.817817,1197.765398,23.59087962,15.50762078,64.525,0.801,0.801,20.651
Australia,1971,152.1925554,6389.95525,145.8026002,75.65644928,65.2865156,4.005109765,5.152768116,1.59087494,66.342,0.451,0.499,10.863
Israel,1971,13.90319643,13.833375,13.88936306,0.022977732,13.83222933,0.032800045,0.0,1.810801528,57.262,0.283,0.285,4.517
Japan,1971,765.1442739,8359.744325,756.7845296,202.7778602,545.4191035,8.587565906,50.45768772,3.834008722,67.048,0.49,0.419,7.154
Korea,1971,66.52308347,11775.19714,54.74788633,23.77285235,30.97503398,0.0,1.542673945,0.0,74.507,0.751,0.569,1.61
New Zealand,1971,13.80086605,61.8577,13.73900835,4.034478086,9.458690582,0.245839685,1.053429755,0.645895128,47.232,0.226,0.232,4.714
Austria,1971,,,49.58428949,16.68328969,27.24427207,5.426587948,0.0,0.279779502,61.701,0.335,0.297,6.48
Belgium,1971,,,119.4057764,45.06011693,63.00118052,11.34447898,8.166021252,1.226796986,71.05,0.658,0.584,12.213
Czech Republic,1971,,,156.9573407,135.3361629,19.75240668,1.868771083,0.0,0.701370888,80.769,2.329,1.225,15.611
Denmark,1971,55.96319869,8.884765,55.95431392,6.156243962,49.75611826,0.0,2.112617698,1.943215885,71.532,0.405,0.44,11.167
Estonia,1971,0.022512825,22.512825,,,,,,,,,,
Finland,1971,,,40.81292464,8.721847147,31.49452253,0.0,0.242155201,0.1783211,52.393,0.491,0.494,8.642
France,1971,433.3186661,1627.5393,431.6911268,142.7760271,268.2695294,17.75667797,12.89773437,4.617898976,63.769,0.442,0.396,8.074
Germany,1971,993.8918925,3181.157525,990.710735,565.5336944,385.9150593,38.53923864,13.13702067,7.646320011,76.585,0.676,0.583,12.485
Greece,1971,,,25.47292191,6.755283526,18.55388109,0.0,1.900984086,1.306662572,68.89,0.246,0.166,2.809
Hungary,1971,,,61.32703686,36.5056887,18.66458083,5.974630049,0.0,0.153725096,75.593,1.165,0.553,5.813
Iceland,1971,,,1.4179362,0.002704865,1.415231334,0.0,0.0,0.221364031,37.167,0.334,0.359,6.816
Ireland,1971,,,22.16772991,9.318655068,12.84907484,0.0,0.240393988,0.965392911,76.945,0.546,0.49,7.268
Italy,1971,293.844143,1922.53775,291.9216053,32.98857589,234.8037602,24.11157756,23.10852055,3.504930044,65.581,0.328,0.269,5.352
Latvia,1971,,,,,,,,,,,,
Lithuania,1971,,,,,,,,,,,,
Luxembourg,1971,,,16.52855001,12.32584889,4.166969969,0.035731148,0.0,0.110681866,96.853,1.38,1.349,48.164
Netherlands,1971,128.8385579,172.991224,128.6655667,15.42701401,65.83875586,47.39979678,28.62210313,2.026150312,59.942,0.444,0.399,9.678
Norway,1971,23.50249496,224.0175178,23.27847745,3.883623883,19.39485356,0.0,1.937973084,0.704060636,41.228,0.21,0.259,5.893
Poland,1971,293.139809,818.633655,292.3211754,258.7104788,21.85254658,10.31951854,1.649913924,0.525876995,79.735,2.298,1.076,8.761
Portugal,1971,,,14.699744,2.543452848,12.02068514,0.0,2.341279817,0.707135025,54.768,0.216,0.14,1.649
Slovak Republic,1971,,,39.20716305,24.37208842,12.10299877,2.664698057,0.0,0.0,65.103,1.107,0.603,8.529
Slovenia,1971,,0.0,,,,,,,,,,
Spain,1971,,,120.4540028,38.66548462,81.09859467,0.688938898,6.006340342,1.758619346,66.76,0.298,0.22,3.44
Sweden,1971,83.12029424,14.625765,83.10566847,5.56744117,77.21846921,0.0,3.622786567,0.332045897,54.374,0.436,0.458,10.132
Switzerland,1971,,,39.49324637,1.994111028,37.38549047,0.029593226,0.0,1.644857544,56.72,0.112,0.144,6.136
Republic of Türkiye,1971,,,44.57798643,16.78701335,25.68061632,0.0,0.266438011,0.08916055,51.004,0.299,0.128,1.152
United Kingdom,1971,632.5675725,2456.448588,630.1111239,358.9141583,249.4743644,21.72260114,17.55185871,7.148212645,71.093,0.518,0.547,11.106
Albania,1971,,,4.03919787,1.233585366,2.417892411,0.251194867,0.0,0.0,53.706,1.325,0.449,1.765
Armenia,1971,,,,,,,,,,,,
Azerbaijan,1971,43.92996204,43929.96204,,,,,,,,,,
Belarus,1971,,,,,,,,,,,,
Bosnia and Herzegovina,1971,,,,,,,,,,,,
Bulgaria,1971,,,64.6328678,34.46174586,29.48608353,0.588166056,0.0,0.614900087,80.135,3.862,1.486,7.478
Croatia,1971,,,,,,,,,,,,
Cyprus,1971,,,1.76537118,0,1.764276428,0.0,0.006252764,0.150655956,70.953,0.679,0.499,2.827
Georgia,1971,,,,,,,,,,,,
Gibraltar,1971,,,0.069442344,0,0.069442344,0.0,3.537022245,0.01537254,55.447,0.15,0.184,2.538
Kazakhstan,1971,12.86279945,12862.79945,,,,,,,,,,
Kosovo,1971,,,,,,,,,,,,
Kyrgyzstan,1971,,,,,,,,,,,,
Malta,1971,,,0.662333049,0,0.662333049,0.0,0.189947888,0.175246412,74.272,0.65,0.432,2.162
Republic of Moldova,1971,,,,,,,,,,,,
Montenegro,1971,,,,,,,,,,,,
Republic of North Macedonia,1971,,,,,,,,,,,,
Romania,1971,126.6033346,10763.4466,115.839888,32.82522526,30.11406397,52.39593257,0.0,0.064680115,65.003,2.173,0.902,5.604
Russian Federation,1971,218.9921005,218992.1005,,,,,,,,,,
Serbia,1971,,,,,,,,,,,,
Tajikistan,1971,,,,,,,,,,,,
Turkmenistan,1971,25.07542665,25075.42665,,,,,,,,,,
Ukraine,1971,1.80119325,1801.19325,,,,,,,,,,
Uzbekistan,1971,5.13791489,5137.91489,,,,,,,,,,
Former Soviet Union (if no detail),1971,,,1961.930699,891.2094845,645.2051226,422.5887107,13.31279863,67.33154974,60.355,2.124,0.764,7.985
Former Yugoslavia (if no detail),1971,,,62.60535115,36.95936148,24.13688105,1.269281666,0.0,0.648845332,67.365,0.903,0.395,3.017
